Student_ID,Age,Gender,CGPA,Internships,Projects,Coding_Skills,Communication_Skills,Aptitude_Test_Score,Soft_Skills_Rating,Certifications,Backlogs,Placement_Status,Degree_B.Tech,Degree_BCA,Degree_MCA,Branch_Civil,Branch_ECE,Branch_IT,Branch_ME
1048,22,0,6.29,0,3,4,6,51,5,1,3,0,True,False,False,False,True,False,False
37820,20,0,6.05,1,4,6,8,59,8,2,1,0,False,True,False,False,True,False,False
49668,22,1,7.22,1,4,6,6,58,6,2,2,0,False,False,True,False,False,False,True
19467,22,1,7.78,2,4,6,6,90,4,2,0,1,False,False,True,False,False,False,True
23094,20,0,7.63,1,4,6,5,79,6,2,0,1,True,False,False,False,False,False,True
8710,20,1,7.99,1,4,5,7,84,6,2,0,1,False,True,False,False,True,False,False
24363,21,1,7.5,1,4,6,4,71,8,2,1,0,False,False,True,False,True,False,False
27448,19,1,8.0,0,4,4,5,74,3,1,0,0,True,False,False,False,False,False,True
23663,24,1,6.24,0,3,3,10,54,7,1,2,0,False,True,False,True,False,False,False
39336,23,1,7.08,2,4,7,6,59,6,2,2,0,False,False,False,False,False,False,True
21919,18,0,5.42,0,2,1,7,42,5,0,1,0,False,False,True,True,False,False,False
11924,19,1,7.48,2,5,9,8,67,6,3,0,1,False,False,True,False,True,False,False
11236,19,1,7.58,1,5,8,1,80,8,3,2,0,False,False,False,False,False,False,False
31588,18,1,6.74,2,4,7,6,73,8,2,0,1,True,False,False,False,True,False,False
11221,19,0,6.11,1,3,5,5,57,5,1,2,0,False,False,True,False,True,False,False
6245,18,1,6.79,0,3,5,5,81,6,2,0,1,False,True,False,False,True,False,False
41110,23,0,7.41,0,3,3,5,83,5,1,1,0,False,False,False,False,False,True,False
46279,18,0,5.97,0,3,6,4,52,6,2,2,0,False,False,False,False,False,False,False
25157,23,1,6.69,1,4,8,7,68,6,2,1,1,True,False,False,False,False,False,False
42829,20,1,7.95,1,4,5,6,81,6,2,1,1,False,True,False,True,False,False,False
32822,18,0,7.3,1,4,7,8,70,7,2,0,1,True,False,False,False,False,False,True
10557,18,0,7.02,0,3,3,8,81,6,1,0,0,False,False,True,False,False,False,True
33595,23,0,7.29,0,3,3,6,88,5,1,0,0,False,True,False,False,True,False,False
49018,21,1,7.69,1,3,4,5,54,9,1,0,0,False,True,False,False,False,False,True
2359,24,1,8.47,2,5,9,3,80,4,3,0,0,False,True,False,False,False,False,False
16180,24,0,7.97,1,4,7,5,89,6,2,1,1,True,False,False,False,True,False,False
19260,23,1,7.58,2,4,5,4,66,6,2,2,0,True,False,False,False,True,False,False
26634,23,0,7.08,2,4,7,7,83,4,2,0,1,False,False,True,True,False,False,False
9097,24,0,6.89,1,4,8,5,69,5,2,0,1,False,False,False,False,False,False,False
19470,24,1,7.49,2,4,5,3,80,4,2,0,0,True,False,False,False,True,False,False
32452,20,1,6.69,1,3,4,7,64,7,1,1,0,False,True,False,False,False,True,False
49309,21,0,6.29,1,3,3,4,55,5,1,2,0,False,False,True,False,False,False,True
32207,20,0,8.0,0,4,5,7,74,6,2,0,1,False,False,False,True,False,False,False
48115,21,0,7.27,0,4,5,5,76,7,2,0,1,True,False,False,False,False,False,False
6121,24,0,8.17,1,4,4,6,89,6,2,0,0,False,True,False,True,False,False,False
7729,23,0,7.83,1,5,9,5,82,6,3,1,1,False,False,False,False,True,False,False
23604,19,1,6.9,1,4,6,7,75,5,2,0,1,False,True,False,False,False,True,False
31239,23,1,5.22,0,3,4,4,47,6,1,1,0,False,False,True,True,False,False,False
2225,20,1,6.09,1,3,5,5,63,7,2,2,0,False,True,False,False,False,False,False
32808,19,1,6.35,0,3,3,8,40,5,1,1,0,False,False,True,False,False,True,False
23466,24,0,5.63,1,3,6,5,55,6,2,1,0,False,False,True,False,False,True,False
49126,23,0,7.78,1,4,7,6,96,8,2,0,1,False,True,False,False,False,False,False
38907,24,0,7.67,3,5,8,6,59,6,2,1,1,True,False,False,False,False,False,False
28311,23,1,5.52,0,3,4,6,57,6,1,2,0,False,False,False,False,False,False,False
18524,24,0,6.1,1,4,6,6,68,6,2,2,0,False,True,False,False,False,False,True
47147,21,1,6.4,1,4,7,4,74,7,2,2,0,True,False,False,False,False,False,False
2211,23,1,8.18,0,4,5,3,94,6,2,0,0,False,False,True,True,False,False,False
37778,23,0,6.96,2,3,5,5,68,6,2,1,1,False,True,False,False,True,False,False
